normal,simple
"The MacBook Air contains no BFRs and PVC wiring , meets Energy Star Version 5.0 requirements , has a recyclable enclosure , and is rated EPEAT Gold ; its display is made from arsenic-free glass and does not contain mercury .","MacBook Air contains no BFRs and PVC wiring , meets Energy Star Version 5.0 requirements , has a recyclable enclosure , and is rated EPEAT Gold ; its screen is made from arsenic-free glass and does not contain mercury ."
Anal bleaching is the process of lightening the color of the skin around the anus .,Anal bleaching is a process that causes the skin around the anus to become lighter in color .
"In the Middle Ages and Renaissance era , it was a stopping point for Catholic pilgrims on their way to Rome and the Vatican , as it sits on the medieval Via Francigena .","In medieval and Renaissance times , it was a stopping point for pilgrims on their way to Rome and the Vatican as it sits on the medieval via Francigena ."
"To order in Italy a very similar food to what in America is called `` pepperoni '' one would request salamino piccante to get the spicy sausage ( but made only of pork beef , and never with meat from other animals as in the american version ) . Usually the Italian name for a pepperoni pizza is pizza alla diavola ( pizza devil-style , very similar in appearance to the pepperoni pizza ) .",Sometimes Chili peppers are called pepperoni Pepperoni is a meat food that is sometimes sliced very thinly and put on pizza .
"In martial arts , combat sports , and violence , a kick is a physical strike using the foot , leg , or knee ( the latter is also known as a knee strike ) . This attack is often used in hand-to-hand combat , especially in stand-up fighting .","In hand-to-hand combat , in martial arts and sports , a kick is a blow with the foot , the knee or the leg ."
"Liver diseases may be diagnosed by liver function tests , for example , by production of acute phase proteins .",There are many different liver diseases .
Liver allografts for transplant usually come from donors who have died from fatal brain injury . Living donor liver transplantation is a technique in which a portion of a living person 's liver is removed and used to replace the entire liver of the recipient .,Some liver diseases can only be treated with liver transplant .
"Common types of matrices include : metal plates , usually copper or zinc , or polymer plates for engraving or etching ; stone , aluminum , or polymer for lithography ; blocks of wood for woodcuts and wood engravings ; and linoleum for linocuts .","Pictures for prints can be cut into plates of metal , usually copper or zinc for engraving or etching ; stone , used for lithography ; blocks of wood for woodcuts , linoleum for linocuts and fabric plates for screen-printing ."
"Its use began to develop from this original sense when the Hebrew Bible was translated into Greek ; in Ancient Greece the term Î Î Î Ï Ï Î Ï Î ( diaspora ) meant `` scattering '' and was used to refer to citizens of a dominant city-state who immigrated to a conquered land with the purpose of colonization , to assimilate the territory into the empire . The term derives from the verb Î Î Î Ï Ï Î Î Ï Ï ( diaspeirÅ ) , `` I scatter '' , `` I spread about '' and that form Î Î Î ( dia ) , `` between , through , across '' + the verb Ï Ï Î Î Ï Ï ( speirÅ ) , `` I sow , I scatter '' .","Diaspora ( Ancient Greek Î Î Î Ï Ï Î Ï Î , literally , `` a scattering or sowing of seeds '' ) is used ( without capitals ) to refer to any people or racial group forced or made to leave their traditional homelands , being scattered throughout other parts of the world , and their exiled community ."
"Usually , spermicides are combined with contraceptive barrier methods such as diaphragms , condoms , cervical caps , and sponges .","Spermicides are normally used with barrier contraception , such as condoms , cervical caps , diaphragms , and contraceptive sponges ."
"Normal wear and tear includes pitting from cavitation , fatigue cracking , and abrasion from suspended solids in the water .","Normal wear and tear is pitting from cavitation , fatigue cracking , and abrasion from suspended solids in the water ."
"An example of a biomaterial which has a high resilience is articular cartilage , the substance lining the ends of bones in articulating joints such as the knee and hip .","An example of a biomaterial which has a high resilience is articular cartilage , the substance lining the ends of bones in articulating joints such as the knee and hip ."
"Many individual cities have also produced their own local hip hop newsletters , while hip hop magazines with national distribution are found in a few other countries . The 21st century also ushered in the rise of online media , and hip hop fan sites now offer comprehensive hip hop coverage on a daily basis .",Hip hop musicians usually use nicknames .
For his study of acetylcholine as agent in the chemical transmission of nerve impulses ( neurotransmission ) he shared the 1936 Nobel Prize in Physiology or Medicine with Otto Loewi .,"He won the 1936 Nobel Prize in Physiology or Medicine , along with Otto Loewi , for their discoveries about the chemical transmission of nerve impulses ."
"It should not be confused with Fanconi syndrome , a kidney disorder also named after Fanconi .",It should not be confused with Fanconi syndrome .
Each of the leukodystrophies is the result of a defect in the gene that controls the production or metabolism of one ( and only one ) of the component molecules of myelin .,"As a result of this defect , one of the molecules that make up myelin can not be synthesized as it should ."
"Myelin , from which the white matter of the brain takes its color , is a complex substance made up of at least ten different chemicals .",Myelin is made of at least ten different chemicals .
A plasma valve is a layer of gas in the shell of a particle accelerator .,The plasma Valve is a layer of gas inside a special shell .
"Bacteria having a centrally placed endospore include Bacillus cereus , and those having a subterminal endospore include Bacillus subtilis . Sometimes the endospore can be so large the cell can be distended around the endospore , this is typical of Clostridium tetani .","Bacteria that can form endospore , but are not in the endospore state are known to be in their vegetative state ."
